User Input,Service Category,hindi_input,hindi_output,odia_input,odia_output,telugu_input,telugu_output,bengali_input,bengali_output
I'm facing a securities fraud investigation as a business executive.,Advocate,??? ?? ??????? ????????? ?? ??? ??? ?? ????????? ???????? ???? ?? ????? ?? ??? ????,????,?? ??????? ??????????????? ????? ??? ?? ?????????? ???? ??????????? ?????? ????? |,????,???? ???????? ???????????????? ??????????? ???? ??????????? ????????????????.,?????????,??? ???? ?????????? ???????? ?????? ?????????? ????????? ??????? ?????????,??????????
I want to draft a power of attorney document.,Document Writer,??? ???? ?? ??????? ????????? ?? ????? ????? ???? ????? ????,????????? ????,??? ???????? ??????????? ? ????? ??????? ??????? ??????? |,??????????? ?????? |,???? ???? ??? ??????? ????????? ????????????????????????.,??????????? ?????,??? ???? ??????? ?? ????????? ??? ????? ???? ????,??? ????
I have a dispute with a co-worker over workplace harassment.,Mediator,???? ????????? ???????? ?? ?? ??????? ?? ??? ????? ???,???????,??????????? ???????????? ???? ??? ?? ????????????? ???? ????? ??? |,?????????,???????? ?????????? ??????????? ???? ?????? ????.,?????????,????????????? ???????? ????? ???? ???????? ???? ???? ????? ???????,?????????????
I need help with international maritime law and regulations.,Advocate,???? ????????????? ??????? ????? ?? ?????? ?? ??? ??? ?? ?????? ???,????,??? ??????????? ????????? ??? ??? ???????? ???? ??????? ?????? ??? |,????,?????????? ?????? ????? ????? ????????? ???? ????? ??????.,?????????,???? ??????????? ????????? ??? ??? ?????????? ??????? ??????,??????????
I'm involved in a divorce case and need legal representation.,Advocate,??? ???? ?? ????? ??? ????? ??? ?? ?????? ???????????? ?? ???????? ???,????,??? ?? ??????? ??????? ???? ??? ????? ????????? ?????? ??? |,????,???? ??????? ?????? ???????????? ????? ????????? ???????????? ?????.,?????????,??? ???? ?????????????? ??????? ????? ??? ???? ?????????????? ?????????,??????????
I have a dispute with a contractor over construction quality.,Arbitrator,??????? ???????? ?? ?? ??????? ?? ??? ???? ????? ???,???,??????? ??? ???? ?? ??????????? ???? ??? ????? ??? |,???????,??????? ???????? ??????????????? ???? ?????? ????.,?????????,????????? ????? ????? ???? ????????? ???? ???? ????? ???????,?????
I want to create a partnership agreement for a new business.,Document Writer,??? ?? ?? ??????? ?? ??? ?? ???????? ?????? ????? ????? ????,????????? ????,??? ?? ???? ??????? ???? ?? ???????? ?????? ?????? ??????? ??????? |,??????????? ?????? |,???? ??????? ???????? ???? ?????????? ??????????? ???????????????????????.,??????????? ?????,??? ???? ???? ?????????? ???? ???? ??????????? ?????? ???? ???? ????,??? ????
I'm facing a personal injury lawsuit due to an accident.,Advocate,??? ?? ???????? ?? ???? ?? ????????? ??? ?? ?????? ?? ????? ?? ??? ????,????,???????? ???? ??? ?? ????????? ???? ??????? ???????? ????? |,????,???? ??????? ??????? ????????? ???? ?????? ????????????????.,?????????,????????? ????? ??? ????????? ?????? ????? ???????? ?????,??????????
I need assistance with international trade sanctions.,Advocate,???? ?????????????? ??????? ?????????? ?? ??? ?????? ?? ???????? ???,????,??????????? ???????? ?????????? ???? ???? ??????? ????? |,????,?????????? ??????? ???????? ???? ????? ??????.,?????????,??????????? ??????? ???????????????? ???? ??????? ??????,??????????
I want to draft a prenuptial agreement before marriage.,Document Writer,??? ???? ?? ???? ?? ????? -?????? ?? ????? ????? ???? ????? ????,????????? ????,??? ????? ??????? ?? ??????????? ?????????? ?????? ???? ??????? ??????? ??????? |,??????????? ?????? |,???? ?????????? ????? ???????? ??????????? ????????????????????????.,??????????? ?????,??? ?????? ??? ???? ????? -??????? ?????? ????? ???? ????,??? ????
I have a dispute with a landlord over lease terms.,Mediator,???? ??? ????? ?? ?????? ?? ?? ???? ????? ?? ??? ????? ???,???????,???? ???? ???? ?? ????????? ???? ??? ????? ??? |,?????????,???? ????????? ?????????? ???? ?????? ????.,?????????,????? ???????? ???? ????????????? ???? ???? ????? ???????,?????????????
I'm facing a wrongful termination case as an employer.,Advocate,??? ?? ???????? ?? ??? ??? ?? ??? ??????? ????? ?? ????? ?? ??? ????,????,??? ??? ???????????? ????? ?? ???? ??????? ??????? ?????? ????? |,????,???? ???????? ??????? ????? ?????? ????????????????.,?????????,??? ???? ??????????? ?????? ???? ??? ???????? ?????? ???????? ???????,??????????
I need help with international customs and tariffs regulations.,Advocate,???? ????????????? ???? -??????? ?? ????? ?????? ?? ??? ??? ?? ?????? ???,????,??????????? ???????? ??? ????? ???????? ???? ??? ??????? ?????? ??? |,????,?????????? ??????? ????? ?????? ????????? ???? ????? ??????.,?????????,???? ??????????? ????? ??? ????? ?????????? ??????? ??????,??????????
I want to create a shareholder agreement for my corporation.,Document Writer,??? ???? ???? ?? ??? ?? ???????? ?????? ????? ????? ????,????????? ????,??? ??? ?????????? ???? ?? ??????? ?????? ?????? ??????? ??????? |,??????????? ?????? |,?? ??????????? ???? ????????? ??????????? ???????????????????????.,??????????? ?????,??? ???? ??????????? ???? ???? ????????????? ?????? ???? ???? ????,??? ????
I have a dispute with a contractor over construction delays.,Arbitrator,??????? ???? ?? ?? ??????? ?? ??? ???? ????? ???,???,??????? ?????? ???? ??? ?? ??????????? ???? ????? ??? |,???????,??????? ?????? ??????? ??????????????? ???? ?????? ????.,?????????,??????? ???????? ????? ???? ????????? ???? ????? ???????,?????
I need assistance with immigration and visa applications.,Advocate,???? ?????? ?? ???? ??????????? ?? ??? ?????? ?? ???????? ???,????,????????? ??? ???? ???????????? ???? ??? ?????? ????? |,????,???????????? ????? ???? ??????????? ???? ????? ??????.,?????????,????????? ??? ???? ?????????????????? ???? ??????? ??????,??????????
I'm dealing with a contract dispute related to product distribution.,Arbitrator,??? ?????? ????? ?? ??????? ?? ?????? ????? ?? ???? ??? ????,???,??? ?? ?????????? ????? ???? ???? ?????? ????? ???? ?????? ????? |,???????,???? ???????? ???????? ?????????? ??????????? ???????? ?????????????????.,?????????,??? ???? ????? ????????? ???? ??????? ??????? ???? ??? ?????,?????
I have a dispute with a tenant over property damage.,Mediator,??????? ?? ????? ?? ?? ????????? ?? ??? ???? ????? ???,???????,???????? ???? ?? ?????? ???? ??? ????? ??? |,?????????,????? ??????? ??????????? ???? ?????? ????.,?????????,????????? ?????? ????? ???? ?????????? ???? ????? ???????,?????????????
I'm facing a medical malpractice lawsuit as a healthcare provider.,Advocate,??? ?? ????????? ???? ??????? ?? ??? ??? ?? ???????? ?????? ?????? ?? ????? ?? ??? ????,????,?? ????????????? ?????????? ????? ??? ?? ??????? ???????????? ??????? ???????? ????? |,????,???? ??????????? ???????????? ????? ??????????? ?????? ????????????????.,?????????,??? ????????????? ?????????? ?????? ???? ??????? ??????????? ????? ?????,??????????
I need help with international environmental regulations compliance.,Advocate,???? ?????????????? ???????? ?????? ?? ??????? ?? ??? ??? ?? ???????? ???,????,??????????? ?????? ???????? ??????? ???? ??? ??????? ?????? ??? |,????,?????????? ???????? ??????? ???????? ???? ????? ??????.,?????????,??????????? ???????? ???????? ???????? ???? ??????? ??????,??????????
I want to create a distribution agreement for my products.,Document Writer,??? ???? ???????? ?? ??? ?? ????? ?????? ????? ????? ????,????????? ????,??? ??? ?????? ???? ?? ????? ?????? ?????? ??????? ??????? |,??????????? ?????? |,?? ????????? ???? ?????? ??????????? ???????????????????????.,??????????? ?????,??? ???? ????????? ???? ???? ????? ?????? ???? ???? ????,??? ????
I have a dispute with a business partner over the sale of shares.,Arbitrator,?????? ?? ?????? ?? ?? ??????? ??????? ?? ??? ???? ????? ???,???,????? ?????? ???? ?? ??????? ?????? ???? ??? ????? ??? |,???????,????? ???????? ??????? ??????????? ???? ?????? ????.,?????????,?????? ??????? ???? ???? ???? ?????????? ????????? ???? ????? ???????,?????
I need assistance with international trade secret protection.,Advocate,???? ?????????????? ??????? ????? ??????? ?? ??? ?????? ?? ???????? ???,????,??????????? ?????? ????? ??????? ???? ???? ??????? ????? |,????,?????????? ??????? ????? ??????? ???? ????? ??????.,?????????,??????????? ??????? ???? ????????? ???? ??????? ??????,??????????
I'm facing a securities fraud investigation as a business executive.,Advocate,??? ?? ??????? ????????? ?? ??? ??? ?? ????????? ???????? ???? ?? ????? ?? ??? ????,????,?? ??????? ??????????????? ????? ??? ?? ?????????? ???? ??????????? ?????? ????? |,????,???? ???????? ???????????????? ??????????? ???? ??????????? ????????????????.,?????????,??? ???? ?????????? ???????? ?????? ?????????? ????????? ??????? ?????????,??????????
I want to draft a power of attorney document.,Document Writer,??? ???? ?? ??????? ????????? ?? ????? ????? ???? ????? ????,????????? ????,??? ???????? ??????????? ? ????? ??????? ??????? ??????? |,??????????? ?????? |,???? ???? ??? ??????? ????????? ????????????????????????.,??????????? ?????,??? ???? ??????? ?? ????????? ??? ????? ???? ????,??? ????
I have a dispute with a co-worker over workplace harassment.,Mediator,???? ????????? ???????? ?? ?? ??????? ?? ??? ????? ???,???????,??????????? ???????????? ???? ??? ?? ????????????? ???? ????? ??? |,?????????,???????? ?????????? ??????????? ???? ?????? ????.,?????????,????????????? ???????? ????? ???? ???????? ???? ???? ????? ???????,?????????????
I need help with international maritime law and regulations.,Advocate,???? ????????????? ??????? ????? ?? ?????? ?? ??? ??? ?? ?????? ???,????,??? ??????????? ????????? ??? ??? ???????? ???? ??????? ?????? ??? |,????,?????????? ?????? ????? ????? ????????? ???? ????? ??????.,?????????,???? ??????????? ????????? ??? ??? ?????????? ??????? ??????,??????????
I'm involved in a divorce case and need legal representation.,Advocate,??? ???? ?? ????? ??? ????? ??? ?? ?????? ???????????? ?? ???????? ???,????,??? ?? ??????? ??????? ???? ??? ????? ????????? ?????? ??? |,????,???? ??????? ?????? ???????????? ????? ????????? ???????????? ?????.,?????????,??? ???? ?????????????? ??????? ????? ??? ???? ?????????????? ?????????,??????????
I have a dispute with a contractor over construction quality.,Arbitrator,??????? ???????? ?? ?? ??????? ?? ??? ???? ????? ???,???,??????? ??? ???? ?? ??????????? ???? ??? ????? ??? |,???????,??????? ???????? ??????????????? ???? ?????? ????.,?????????,????????? ????? ????? ???? ????????? ???? ???? ????? ???????,?????
I want to create a partnership agreement for a new business.,Document Writer,??? ?? ?? ??????? ?? ??? ?? ???????? ?????? ????? ????? ????,????????? ????,??? ?? ???? ??????? ???? ?? ???????? ?????? ?????? ??????? ??????? |,??????????? ?????? |,???? ??????? ???????? ???? ?????????? ??????????? ???????????????????????.,??????????? ?????,??? ???? ???? ?????????? ???? ???? ??????????? ?????? ???? ???? ????,??? ????
I'm facing a personal injury lawsuit due to an accident.,Advocate,??? ?? ???????? ?? ???? ?? ????????? ??? ?? ?????? ?? ????? ?? ??? ????,????,???????? ???? ??? ?? ????????? ???? ??????? ???????? ????? |,????,???? ??????? ??????? ????????? ???? ?????? ????????????????.,?????????,????????? ????? ??? ????????? ?????? ????? ???????? ?????,??????????
I need assistance with international trade sanctions.,Advocate,???? ?????????????? ??????? ?????????? ?? ??? ?????? ?? ???????? ???,????,??????????? ???????? ?????????? ???? ???? ??????? ????? |,????,?????????? ??????? ???????? ???? ????? ??????.,?????????,??????????? ??????? ???????????????? ???? ??????? ??????,??????????
I want to draft a prenuptial agreement before marriage.,Document Writer,??? ???? ?? ???? ?? ????? -?????? ?? ????? ????? ???? ????? ????,????????? ????,??? ????? ??????? ?? ??????????? ?????????? ?????? ???? ??????? ??????? ??????? |,??????????? ?????? |,???? ?????????? ????? ???????? ??????????? ????????????????????????.,??????????? ?????,??? ?????? ??? ???? ????? -??????? ?????? ????? ???? ????,??? ????
I have a dispute with a landlord over lease terms.,Mediator,???? ??? ????? ?? ?????? ?? ?? ???? ????? ?? ??? ????? ???,???????,???? ???? ???? ?? ????????? ???? ??? ????? ??? |,?????????,???? ????????? ?????????? ???? ?????? ????.,?????????,????? ???????? ???? ????????????? ???? ???? ????? ???????,?????????????
I'm facing a wrongful termination case as an employer.,Advocate,??? ?? ???????? ?? ??? ??? ?? ??? ??????? ????? ?? ????? ?? ??? ????,????,??? ??? ???????????? ????? ?? ???? ??????? ??????? ?????? ????? |,????,???? ???????? ??????? ????? ?????? ????????????????.,?????????,??? ???? ??????????? ?????? ???? ??? ???????? ?????? ???????? ???????,??????????
I need help with international customs and tariffs regulations.,Advocate,???? ????????????? ???? -??????? ?? ????? ?????? ?? ??? ??? ?? ?????? ???,????,??????????? ???????? ??? ????? ???????? ???? ??? ??????? ?????? ??? |,????,?????????? ??????? ????? ?????? ????????? ???? ????? ??????.,?????????,???? ??????????? ????? ??? ????? ?????????? ??????? ??????,??????????
I want to create a shareholder agreement for my corporation.,Document Writer,??? ???? ???? ?? ??? ?? ???????? ?????? ????? ????? ????,????????? ????,??? ??? ?????????? ???? ?? ??????? ?????? ?????? ??????? ??????? |,??????????? ?????? |,?? ??????????? ???? ????????? ??????????? ???????????????????????.,??????????? ?????,??? ???? ??????????? ???? ???? ????????????? ?????? ???? ???? ????,??? ????
I have a dispute with a contractor over construction delays.,Arbitrator,??????? ???? ?? ?? ??????? ?? ??? ???? ????? ???,???,??????? ?????? ???? ??? ?? ??????????? ???? ????? ??? |,???????,??????? ?????? ??????? ??????????????? ???? ?????? ????.,?????????,??????? ???????? ????? ???? ????????? ???? ????? ???????,?????
I need assistance with immigration and visa applications.,Advocate,???? ?????? ?? ???? ??????????? ?? ??? ?????? ?? ???????? ???,????,????????? ??? ???? ???????????? ???? ??? ?????? ????? |,????,???????????? ????? ???? ??????????? ???? ????? ??????.,?????????,????????? ??? ???? ?????????????????? ???? ??????? ??????,??????????
I'm dealing with a contract dispute related to product distribution.,Arbitrator,??? ?????? ????? ?? ??????? ?? ?????? ????? ?? ???? ??? ????,???,??? ?? ?????????? ????? ???? ???? ?????? ????? ???? ?????? ????? |,???????,???? ???????? ???????? ?????????? ??????????? ???????? ?????????????????.,?????????,??? ???? ????? ????????? ???? ??????? ??????? ???? ??? ?????,?????
I want to draft a will to specify my inheritance wishes.,Document Writer,??? ???? ?????? ?? ??????? ?? ????????? ???? ?? ??? ????? ?? ????? ????? ???? ????? ????,????????? ????,??? ???????? ????? ??????????? ??????? ??? ?? ????? ??????? ??????? ??????? |,??????????? ?????? |,?? ??????? ???????? ????????????? ??????? ???????? ??????????????????.,??????????? ?????,??? ???? ??????????? ?????????? ????????? ???? ???? ???? ??? ????? ???? ????,??? ????
I have a dispute with a tenant over property damage.,Mediator,??????? ?? ????? ?? ?? ????????? ?? ??? ???? ????? ???,???????,???????? ???? ?? ?????? ???? ??? ????? ??? |,?????????,????? ??????? ??????????? ???? ?????? ????.,?????????,????????? ?????? ????? ???? ?????????? ???? ????? ???????,?????????????
I'm facing a medical malpractice lawsuit as a healthcare provider.,Advocate,??? ?? ????????? ???? ??????? ?? ??? ??? ?? ???????? ?????? ?????? ?? ????? ?? ??? ????,????,?? ????????????? ?????????? ????? ??? ?? ??????? ???????????? ??????? ???????? ????? |,????,???? ??????????? ???????????? ????? ??????????? ?????? ????????????????.,?????????,??? ????????????? ?????????? ?????? ???? ??????? ??????????? ????? ?????,??????????
I need help with international environmental regulations compliance.,Advocate,???? ?????????????? ???????? ?????? ?? ??????? ?? ??? ??? ?? ???????? ???,????,??????????? ?????? ???????? ??????? ???? ??? ??????? ?????? ??? |,????,?????????? ???????? ??????? ???????? ???? ????? ??????.,?????????,??????????? ???????? ???????? ???????? ???? ??????? ??????,??????????
I want to create a distribution agreement for my products.,Document Writer,??? ???? ???????? ?? ??? ?? ????? ?????? ????? ????? ????,????????? ????,??? ??? ?????? ???? ?? ????? ?????? ?????? ??????? ??????? |,??????????? ?????? |,?? ????????? ???? ?????? ??????????? ???????????????????????.,??????????? ?????,??? ???? ????????? ???? ???? ????? ?????? ???? ???? ????,??? ????
I have a dispute with a business partner over the sale of shares.,Arbitrator,?????? ?? ?????? ?? ?? ??????? ??????? ?? ??? ???? ????? ???,???,????? ?????? ???? ?? ??????? ?????? ???? ??? ????? ??? |,???????,????? ???????? ??????? ??????????? ???? ?????? ????.,?????????,?????? ??????? ???? ???? ???? ?????????? ????????? ???? ????? ???????,?????
I need assistance with international trade secret protection.,Advocate,???? ?????????????? ??????? ????? ??????? ?? ??? ?????? ?? ???????? ???,????,??????????? ?????? ????? ??????? ???? ???? ??????? ????? |,????,?????????? ??????? ????? ??????? ???? ????? ??????.,?????????,??????????? ??????? ???? ????????? ???? ??????? ??????,??????????
I'm facing a securities fraud investigation as a business executive.,Advocate,??? ?? ??????? ????????? ?? ??? ??? ?? ????????? ???????? ???? ?? ????? ?? ??? ????,????,?? ??????? ??????????????? ????? ??? ?? ?????????? ???? ??????????? ?????? ????? |,????,???? ???????? ???????????????? ??????????? ???? ??????????? ????????????????.,?????????,??? ???? ?????????? ???????? ?????? ?????????? ????????? ??????? ?????????,??????????
I want to draft a power of attorney document.,Document Writer,??? ???? ?? ??????? ????????? ?? ????? ????? ???? ????? ????,????????? ????,??? ???????? ??????????? ? ????? ??????? ??????? ??????? |,??????????? ?????? |,???? ???? ??? ??????? ????????? ????????????????????????.,??????????? ?????,??? ???? ??????? ?? ????????? ??? ????? ???? ????,??? ????
I have a dispute with a co-worker over workplace harassment.,Mediator,???? ????????? ???????? ?? ?? ??????? ?? ??? ????? ???,???????,??????????? ???????????? ???? ??? ?? ????????????? ???? ????? ??? |,?????????,???????? ?????????? ??????????? ???? ?????? ????.,?????????,????????????? ???????? ????? ???? ???????? ???? ???? ????? ???????,?????????????
I need help with international maritime law and regulations.,Advocate,???? ????????????? ??????? ????? ?? ?????? ?? ??? ??? ?? ?????? ???,????,??? ??????????? ????????? ??? ??? ???????? ???? ??????? ?????? ??? |,????,?????????? ?????? ????? ????? ????????? ???? ????? ??????.,?????????,???? ??????????? ????????? ??? ??? ?????????? ??????? ??????,??????????
I'm involved in a divorce case and need legal representation.,Advocate,??? ???? ?? ????? ??? ????? ??? ?? ?????? ???????????? ?? ???????? ???,????,??? ?? ??????? ??????? ???? ??? ????? ????????? ?????? ??? |,????,???? ??????? ?????? ???????????? ????? ????????? ???????????? ?????.,?????????,??? ???? ?????????????? ??????? ????? ??? ???? ?????????????? ?????????,??????????
I have a dispute with a contractor over construction quality.,Arbitrator,??????? ???????? ?? ?? ??????? ?? ??? ???? ????? ???,???,??????? ??? ???? ?? ??????????? ???? ??? ????? ??? |,???????,??????? ???????? ??????????????? ???? ?????? ????.,?????????,????????? ????? ????? ???? ????????? ???? ???? ????? ???????,?????
I want to create a partnership agreement for a new business.,Document Writer,??? ?? ?? ??????? ?? ??? ?? ???????? ?????? ????? ????? ????,????????? ????,??? ?? ???? ??????? ???? ?? ???????? ?????? ?????? ??????? ??????? |,??????????? ?????? |,???? ??????? ???????? ???? ?????????? ??????????? ???????????????????????.,??????????? ?????,??? ???? ???? ?????????? ???? ???? ??????????? ?????? ???? ???? ????,??? ????
I'm facing a personal injury lawsuit due to an accident.,Advocate,??? ?? ???????? ?? ???? ?? ????????? ??? ?? ?????? ?? ????? ?? ??? ????,????,???????? ???? ??? ?? ????????? ???? ??????? ???????? ????? |,????,???? ??????? ??????? ????????? ???? ?????? ????????????????.,?????????,????????? ????? ??? ????????? ?????? ????? ???????? ?????,??????????
I need assistance with international trade sanctions.,Advocate,???? ?????????????? ??????? ?????????? ?? ??? ?????? ?? ???????? ???,????,??????????? ???????? ?????????? ???? ???? ??????? ????? |,????,?????????? ??????? ???????? ???? ????? ??????.,?????????,??????????? ??????? ???????????????? ???? ??????? ??????,??????????
I want to draft a prenuptial agreement before marriage.,Document Writer,??? ???? ?? ???? ?? ????? -?????? ?? ????? ????? ???? ????? ????,????????? ????,??? ????? ??????? ?? ??????????? ?????????? ?????? ???? ??????? ??????? ??????? |,??????????? ?????? |,???? ?????????? ????? ???????? ??????????? ????????????????????????.,??????????? ?????,??? ?????? ??? ???? ????? -??????? ?????? ????? ???? ????,??? ????
I have a dispute with a landlord over lease terms.,Mediator,???? ??? ????? ?? ?????? ?? ?? ???? ????? ?? ??? ????? ???,???????,???? ???? ???? ?? ????????? ???? ??? ????? ??? |,?????????,???? ????????? ?????????? ???? ?????? ????.,?????????,????? ???????? ???? ????????????? ???? ???? ????? ???????,?????????????
I'm facing a wrongful termination case as an employer.,Advocate,??? ?? ???????? ?? ??? ??? ?? ??? ??????? ????? ?? ????? ?? ??? ????,????,??? ??? ???????????? ????? ?? ???? ??????? ??????? ?????? ????? |,????,???? ???????? ??????? ????? ?????? ????????????????.,?????????,??? ???? ??????????? ?????? ???? ??? ???????? ?????? ???????? ???????,??????????
I need help with international customs and tariffs regulations.,Advocate,???? ????????????? ???? -??????? ?? ????? ?????? ?? ??? ??? ?? ?????? ???,????,??????????? ???????? ??? ????? ???????? ???? ??? ??????? ?????? ??? |,????,?????????? ??????? ????? ?????? ????????? ???? ????? ??????.,?????????,???? ??????????? ????? ??? ????? ?????????? ??????? ??????,??????????
I want to create a shareholder agreement for my corporation.,Document Writer,??? ???? ???? ?? ??? ?? ???????? ?????? ????? ????? ????,????????? ????,??? ??? ?????????? ???? ?? ??????? ?????? ?????? ??????? ??????? |,??????????? ?????? |,?? ??????????? ???? ????????? ??????????? ???????????????????????.,??????????? ?????,??? ???? ??????????? ???? ???? ????????????? ?????? ???? ???? ????,??? ????
I have a dispute with a contractor over construction delays.,Arbitrator,??????? ???? ?? ?? ??????? ?? ??? ???? ????? ???,???,??????? ?????? ???? ??? ?? ??????????? ???? ????? ??? |,???????,??????? ?????? ??????? ??????????????? ???? ?????? ????.,?????????,??????? ???????? ????? ???? ????????? ???? ????? ???????,?????
I need assistance with immigration and visa applications.,Advocate,???? ?????? ?? ???? ??????????? ?? ??? ?????? ?? ???????? ???,????,????????? ??? ???? ???????????? ???? ??? ?????? ????? |,????,???????????? ????? ???? ??????????? ???? ????? ??????.,?????????,????????? ??? ???? ?????????????????? ???? ??????? ??????,??????????
I'm dealing with a contract dispute related to product distribution.,Arbitrator,??? ?????? ????? ?? ??????? ?? ?????? ????? ?? ???? ??? ????,???,??? ?? ?????????? ????? ???? ???? ?????? ????? ???? ?????? ????? |,???????,???? ???????? ???????? ?????????? ??????????? ???????? ?????????????????.,?????????,??? ???? ????? ????????? ???? ??????? ??????? ???? ??? ?????,?????
I want to draft a will to specify my inheritance wishes.,Document Writer,??? ???? ?????? ?? ??????? ?? ????????? ???? ?? ??? ????? ?? ????? ????? ???? ????? ????,????????? ????,??? ???????? ????? ??????????? ??????? ??? ?? ????? ??????? ??????? ??????? |,??????????? ?????? |,?? ??????? ???????? ????????????? ??????? ???????? ??????????????????.,??????????? ?????,??? ???? ??????????? ?????????? ????????? ???? ???? ???? ??? ????? ???? ????,??? ????
I have a dispute with a tenant over property damage.,Mediator,??????? ?? ????? ?? ?? ????????? ?? ??? ???? ????? ???,???????,???????? ???? ?? ?????? ???? ??? ????? ??? |,?????????,????? ??????? ??????????? ???? ?????? ????.,?????????,????????? ?????? ????? ???? ?????????? ???? ????? ???????,?????????????
I'm facing a medical malpractice lawsuit as a healthcare provider.,Advocate,??? ?? ????????? ???? ??????? ?? ??? ??? ?? ???????? ?????? ?????? ?? ????? ?? ??? ????,????,?? ????????????? ?????????? ????? ??? ?? ??????? ???????????? ??????? ???????? ????? |,????,???? ??????????? ???????????? ????? ??????????? ?????? ????????????????.,?????????,??? ????????????? ?????????? ?????? ???? ??????? ??????????? ????? ?????,??????????
I need help with international environmental regulations compliance.,Advocate,???? ?????????????? ???????? ?????? ?? ??????? ?? ??? ??? ?? ???????? ???,????,??????????? ?????? ???????? ??????? ???? ??? ??????? ?????? ??? |,????,?????????? ???????? ??????? ???????? ???? ????? ??????.,?????????,??????????? ???????? ???????? ???????? ???? ??????? ??????,??????????
I want to create a distribution agreement for my products.,Document Writer,??? ???? ???????? ?? ??? ?? ????? ?????? ????? ????? ????,????????? ????,??? ??? ?????? ???? ?? ????? ?????? ?????? ??????? ??????? |,??????????? ?????? |,?? ????????? ???? ?????? ??????????? ???????????????????????.,??????????? ?????,??? ???? ????????? ???? ???? ????? ?????? ???? ???? ????,??? ????
I have a dispute with a business partner over the sale of shares.,Arbitrator,?????? ?? ?????? ?? ?? ??????? ??????? ?? ??? ???? ????? ???,???,????? ?????? ???? ?? ??????? ?????? ???? ??? ????? ??? |,???????,????? ???????? ??????? ??????????? ???? ?????? ????.,?????????,?????? ??????? ???? ???? ???? ?????????? ????????? ???? ????? ???????,?????
I need assistance with international trade secret protection.,Advocate,???? ?????????????? ??????? ????? ??????? ?? ??? ?????? ?? ???????? ???,????,??????????? ?????? ????? ??????? ???? ???? ??????? ????? |,????,?????????? ??????? ????? ??????? ???? ????? ??????.,?????????,??????????? ??????? ???? ????????? ???? ??????? ??????,??????????
I'm facing a securities fraud investigation as a business executive.,Advocate,??? ?? ??????? ????????? ?? ??? ??? ?? ????????? ???????? ???? ?? ????? ?? ??? ????,????,?? ??????? ??????????????? ????? ??? ?? ?????????? ???? ??????????? ?????? ????? |,????,???? ???????? ???????????????? ??????????? ???? ??????????? ????????????????.,?????????,??? ???? ?????????? ???????? ?????? ?????????? ????????? ??????? ?????????,??????????
I want to draft a power of attorney document.,Document Writer,??? ???? ?? ??????? ????????? ?? ????? ????? ???? ????? ????,????????? ????,??? ???????? ??????????? ? ????? ??????? ??????? ??????? |,??????????? ?????? |,???? ???? ??? ??????? ????????? ????????????????????????.,??????????? ?????,??? ???? ??????? ?? ????????? ??? ????? ???? ????,??? ????
I have a dispute with a co-worker over workplace harassment.,Mediator,???? ????????? ???????? ?? ?? ??????? ?? ??? ????? ???,???????,??????????? ???????????? ???? ??? ?? ????????????? ???? ????? ??? |,?????????,???????? ?????????? ??????????? ???? ?????? ????.,?????????,????????????? ???????? ????? ???? ???????? ???? ???? ????? ???????,?????????????
I need help with international maritime law and regulations.,Advocate,???? ????????????? ??????? ????? ?? ?????? ?? ??? ??? ?? ?????? ???,????,??? ??????????? ????????? ??? ??? ???????? ???? ??????? ?????? ??? |,????,?????????? ?????? ????? ????? ????????? ???? ????? ??????.,?????????,???? ??????????? ????????? ??? ??? ?????????? ??????? ??????,??????????
I have a dispute with a contractor over construction quality.,Arbitrator,??????? ???????? ?? ?? ??????? ?? ??? ???? ????? ???,???,??????? ??? ???? ?? ??????????? ???? ??? ????? ??? |,???????,??????? ???????? ??????????????? ???? ?????? ????.,?????????,????????? ????? ????? ???? ????????? ???? ???? ????? ???????,?????
I want to create a partnership agreement for a new business.,Document Writer,??? ?? ?? ??????? ?? ??? ?? ???????? ?????? ????? ????? ????,????????? ????,??? ?? ???? ??????? ???? ?? ???????? ?????? ?????? ??????? ??????? |,??????????? ?????? |,???? ??????? ???????? ???? ?????????? ??????????? ???????????????????????.,??????????? ?????,??? ???? ???? ?????????? ???? ???? ??????????? ?????? ???? ???? ????,??? ????
I'm facing a personal injury lawsuit due to an accident.,Advocate,??? ?? ???????? ?? ???? ?? ????????? ??? ?? ?????? ?? ????? ?? ??? ????,????,???????? ???? ??? ?? ????????? ???? ??????? ???????? ????? |,????,???? ??????? ??????? ????????? ???? ?????? ????????????????.,?????????,????????? ????? ??? ????????? ?????? ????? ???????? ?????,??????????
I need assistance with international trade sanctions.,Advocate,???? ?????????????? ??????? ?????????? ?? ??? ?????? ?? ???????? ???,????,??????????? ???????? ?????????? ???? ???? ??????? ????? |,????,?????????? ??????? ???????? ???? ????? ??????.,?????????,??????????? ??????? ???????????????? ???? ??????? ??????,??????????
I want to draft a prenuptial agreement before marriage.,Document Writer,??? ???? ?? ???? ?? ????? -?????? ?? ????? ????? ???? ????? ????,????????? ????,??? ????? ??????? ?? ??????????? ?????????? ?????? ???? ??????? ??????? ??????? |,??????????? ?????? |,???? ?????????? ????? ???????? ??????????? ????????????????????????.,??????????? ?????,??? ?????? ??? ???? ????? -??????? ?????? ????? ???? ????,??? ????
